Colleges_and_Universities
NAME,CITY,STATE,ZIP,COUNTY,ALIAS
Paul Mitchell the School-St George,Washington,UT,84780,Washington,NOT AVAILABLE
Hinton Barber College,Vallejo,CA,94590,Solano,NOT AVAILABLE
The Art Institute of Virginia Beach,Virginia Beach,VA,23462,Virginia Beach,AiVA
Advanced Career Institute,Visalia,CA,93291,Tulare,NOT AVAILABLE
Bryant & Stratton College-Bayshore,Glendale,WI,53217,Milwaukee,NOT AVAILABLE
Gerstner Sloan-Kettering Graduate School of Biomedical Sciences at Memorial Sloan-Kettering Cancer Center,New York,NY,10065,New York,Gerstner Sloan-Kettering
Digital Film Academy,New York,NY,10036,New York,Digital Film Center
MyComputerCareer.com,Raleigh,NC,27606,Wake,NOT AVAILABLE
Daymar College-Online,Louisville,KY,40245,Jefferson,NOT AVAILABLE
Virginia College-Columbia,Columbia,SC,29223,Richland,NOT AVAILABLE
Audio Engineering Institute,San Antonio,TX,78232,Bexar,NOT AVAILABLE
Kaplan University-Augusta Campus,Augusta,ME,4330,Kennebec,NOT AVAILABLE
Sanford-Brown College-Dearborn,Dearborn,MI,48126,Wayne,NOT AVAILABLE
South University-Austin,Austin,TX,78729,Williamson,NOT AVAILABLE
Sanford-Brown College-Grand Rapids,Grand Rapids,MI,49546,Kent,NOT AVAILABLE
South University-Cleveland,Cleveland,OH,44128,Cuyahoga,NOT AVAILABLE
Sanford-Brown College-Indianapolis,Indianapolis,IN,46268,Marion,NOT AVAILABLE
Sanford-Brown College-Hillside,Hillside,IL,60162,Cook,SBC-Hillside
Bryant & Stratton College-Online,Orchard Park,NY,14127,Erie,NOT AVAILABLE
Virginia College-Florence,Florence,SC,29501,Florence,NOT AVAILABLE
Sanford-Brown College-Tinley Park,Tinley Park,IL,60487,Will,NOT AVAILABLE
Seattle Film Institute,Seattle,WA,98122,King,NOT AVAILABLE
Ogle School Hair Skin Nails-San Antonio,San Antonio,TX,78216,Bexar,NOT AVAILABLE
Sanford-Brown College-Phoenix,Phoenix,AZ,85021,Maricopa,SBC Phoenix
Sanford-Brown Institute-Orlando,Orlando,FL,32809,Orange,NOT AVAILABLE
Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,PA,17022,Lancaster,NOT AVAILABLE
Fortis College,Cutler Bay,FL,33157,Miami-Dade,Fortis College-Cutler Bay
Tonsorial Academy of Cosmetology and Barber Styling,West Haven,CT,6516,New Haven,NOT AVAILABLE
Fortis College-Indianapolis,Indianapolis,IN,46268,Marion,NOT AVAILABLE
Anamarc College-El Paso East,El Paso,TX,79936,El Paso,NOT AVAILABLE
Ideal Beauty Academy,Louisville,KY,40223,Jefferson,NOT AVAILABLE
Kaplan College-Arlington,Arlington,TX,76010,Tarrant,NOT AVAILABLE
Minnesota School of Cosmetology-Plymouth Campus,Plymouth,MN,55447,Hennepin,NOT AVAILABLE
Kaplan College-Charlotte,Charlotte,NC,28212,Mecklenburg,NOT AVAILABLE
Kaplan College-Jacksonville,Jacksonville,FL,32216,Duval,NOT AVAILABLE
Mercyhurst North East,North East,PA,16428,Erie,NOT AVAILABLE
Warner Pacific College Adult Degree Program,Portland,OR,97266,Multnomah,Warner Pacific College ADP
Globe University-Madison East,Madison,WI,53718,Dane,NOT AVAILABLE
Minnesota School of Business-Lakeville,Lakeville,MN,55044,Dakota,MSB-Lakeville
Globe University√Green Bay,Green Bay,WI,54311,Brown,NOT AVAILABLE
Globe University√Madison West,Middleton,WI,53562,Dane,NOT AVAILABLE
Globe University√Wausau,Rothschild,WI,54474,Marathon,NOT AVAILABLE
Platt College-Riverside,Riverside,CA,92507,Riverside,NOT AVAILABLE
Savannah Law School,Savannah,GA,31401,Chatham,NOT AVAILABLE
Empire Beauty School-Glen Burnie,Glen Burnie,MD,21061,Anne Arundel,NOT AVAILABLE
Dade Medical College-Hollywood,Hollywood,FL,33024,Broward,NOT AVAILABLE
Everest College-Woodbridge,Woodbridge,VA,22192,Prince William,NOT AVAILABLE
Empire Beauty School-E Memphis,Memphis,TN,38117,Shelby,NOT AVAILABLE
Everest College-Kansas City,Kansas City,MO,64114,Jackson,NOT AVAILABLE
Empire Beauty School-Nashville,Brentwood,TN,37027,Williamson,NOT AVAILABLE
International School of Cosmetology-Toni & Guy Hairdressing Academy,Scottsdale,AZ,85250,Maricopa,International School of Cosmetology dba TONI&GUY Hairdressing Academy
The Hair Design School-Jackson,Jackson,TN,38301,Madison,NOT AVAILABLE
InterCoast Career Institute-Salem,Salem,NH,3079,Rockingham,NOT AVAILABLE
Empire Beauty School-Springfield,Springfield,PA,19064,Delaware,NOT AVAILABLE
Empire Beauty School-Paramus,Paramus,NJ,7652,Bergen,NOT AVAILABLE
International Sports Sciences Association,Carpinteria,CA,93013,Santa Barbara,NOT AVAILABLE
Empire Beauty School-Speedway,Speedway,IN,46224,Marion,NOT AVAILABLE
Abraham Lincoln University,Los Angeles,CA,90010,Los Angeles,NOT AVAILABLE
Empire Beauty School-Morrow,Morrow,GA,30260,Clayton,NOT AVAILABLE
National College-Canton,Canton,OH,44718,Stark,NOT AVAILABLE
Strayer University-Arkansas,Little Rock,AR,72211,Pulaski,NOT AVAILABLE
Shiloh University,Kalona,IA,52247,Washington,NOT AVAILABLE
Strayer University-Georgia,Atlanta,GA,30341,DeKalb,NOT AVAILABLE
Court Reporting Institute of Arlington,Arlington,VA,22203,Arlington,NOT AVAILABLE
Strayer University-Louisiana,Metairie,LA,70005,Jefferson,NOT AVAILABLE
Vatterott College-Fairview Heights,Fairview Heights,IL,62208,St. Clair,NOT AVAILABLE
Strayer University-Mississippi,Jackson,MS,39206,Hinds,NOT AVAILABLE
Ross Medical Education Center,Dayton,OH,45424,Montgomery,NOT AVAILABLE
Strayer University-South Carolina,Greenville,SC,29607,Greenville,NOT AVAILABLE
Ross Medical Education Center,Ontario,OH,44906,Richland,NOT AVAILABLE
Strayer University-Texas,Austin,TX,78759,Travis,NOT AVAILABLE
Ross Medical Education Center,Bowling Green,KY,42104,Warren,NOT AVAILABLE
The Art Institute of San Antonio,San Antonio,TX,78230,Bexar,NOT AVAILABLE
Florida Institute of Technology-Florida Tech Online,Melbourne,FL,32901,Brevard,NOT AVAILABLE
Globe University-La Crosse,Onalaska,WI,54650,La Crosse,NOT AVAILABLE
The Hair Design School-S Memphis,Memphis,TN,38111,Shelby,NOT AVAILABLE
Euphoria Institute of Beauty Arts & Sciences-Summerlin,Las Vegas,NV,89117,Clark,NOT AVAILABLE
Euphoria Institute of Beauty Arts & Sciences-Green Valley,Henderson,NV,89052,Clark,NOT AVAILABLE
Empire Beauty School-Portsmouth,Portsmouth,NH,3801,Rockingham,NOT AVAILABLE
Long Island University-Riverhead Campus,Riverhead,NY,11901,Suffolk,LIU Riverhead
Newbridge College-Long Beach,Long Beach,CA,90815,Los Angeles,NOT AVAILABLE
Regency Beauty Institute-Lakewood,Lakewood,CO,80226,Jefferson,NOT AVAILABLE
Regency Beauty Institute-Westminster,Westminster,CO,80031,Jefferson,NOT AVAILABLE
Regency Beauty Institute-Avon,Indianapolis,IN,46214,Marion,NOT AVAILABLE
Regency Beauty Institute-Joliet,Joliet,IL,60431,Will,NOT AVAILABLE
Regency Beauty Institute-Rockford,Rockford,IL,61108,Winnebago,NOT AVAILABLE
Regency Beauty Institute-Greenfield,Greenfield,WI,53220,Milwaukee,NOT AVAILABLE
Regency Beauty Institute-East Tucson,Tucson,AZ,85710,Pima,NOT AVAILABLE
Regency Beauty Institute-Tri-County,Springdale,OH,45246,Hamilton,NOT AVAILABLE
Regency Beauty Institute-Eastgate,Cincinnati,OH,45246,Clermont,NOT AVAILABLE
Regency Beauty Institute-Topeka,Topeka,KS,66604,Shawnee,NOT AVAILABLE
Columbia Southern University,Orange Beach,AL,36561,Baldwin,NOT AVAILABLE
Phoenix School of Law,Phoenix,AZ,85004,Maricopa,NOT AVAILABLE
Arizona Culinary Institute,Scottsdale,AZ,85259,Maricopa,NOT AVAILABLE
InfoTech Career College,Paramount,CA,90723,Los Angeles,NOT AVAILABLE
Trident University International,Cypress,CA,90630,Orange,TUI
Coastline Beauty College,Fountain Valley,CA,92708,Orange,NOT AVAILABLE
Healthy Hair Academy,Inglewood,CA,90303,Los Angeles,NOT AVAILABLE
Career College Consultants,Los Angeles,CA,90041,Los Angeles,NOT AVAILABLE
Proteus,Visalia,CA,93291,Tulare,NOT AVAILABLE
Montessori Casa International,Denver,CO,80230,Arapahoe,NOT AVAILABLE
Branford Academy of Hair & Cosmetology,Branford,CT,6405,New Haven,NOT AVAILABLE
Academy of Massage and Bodywork,Bear,DE,19701,New Castle,NOT AVAILABLE
Digital Media Arts College,Boca Raton,FL,33487,Palm Beach,NOT AVAILABLE
Academy for Five Element Acupuncture,Gainesville,FL,32601,Alachua,NOT AVAILABLE
FastTrain of Jacksonville,NOT AVAILABLE,FL,NOT AVAILABLE,Duval,NOT AVAILABLE
Academy of Career Training,Kissimmee,FL,34741,Osceola,NOT AVAILABLE
Management Resources Institute,Miami,FL,33126,Miami-Dade,NOT AVAILABLE
FastTrain of Miami,NOT AVAILABLE,FL,NOT AVAILABLE,Miami-Dade,NOT AVAILABLE
Hi-Tech School of Cosmetology,Miami,FL,33174,Miami-Dade,NOT AVAILABLE
Wolford College,Naples,FL,34108,Collier,NOT AVAILABLE
Aveda Institute-Saint Petersburg,Saint Petersburg,FL,33701,Pinellas,NOT AVAILABLE
Aveda Institute-Tallahassee,Tallahassee,FL,32304,Leon,NOT AVAILABLE
Shear Excellence Hair Academy,Tampa,FL,33614,Hillsborough,NOT AVAILABLE
Carlson College of Massage Therapy,Anamosa,IA,52205,Jones,NOT AVAILABLE
Bio-Chi Institute of Massage Therapy,Sioux City,IA,51103,Woodbury,NOT AVAILABLE
SOLEX Medical Academy,Wheeling,IL,60090,Cook,NOT AVAILABLE
TechSkills-Indianapolis,Indianapolis,IN,46278,Marion,NOT AVAILABLE
Z Hair Academy,Lawrence,KS,66046,Douglas,NOT AVAILABLE
Alden's School of Cosmetology,Baker,LA,70714,East Baton Rouge,NOT AVAILABLE
Loma Linda University,Loma Linda,CA,92350,San Bernardino,NOT AVAILABLE
Cabrillo College,Aptos,CA,95003,Santa Cruz,NOT AVAILABLE
Long Beach City College,Long Beach,CA,90808,Los Angeles,NOT AVAILABLE
California College of the Arts,Oakland,CA,94618,Alameda,NOT AVAILABLE
Southern California University of Health Sciences,Whittier,CA,90604,Los Angeles,Los Angeles College of Chiropractic |College of Acupuncture and Oriental Medicine
University of California Hastings College of Law,San Francisco,CA,94102,San Francisco,NOT AVAILABLE
Los Angeles Community College District Office,Los Angeles,CA,90017,Los Angeles,NOT AVAILABLE
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407,San Luis Obispo,Cal Poly
Los Angeles Harbor College,Wilmington,CA,90744,Los Angeles,Harbor College
Alliant International University,San Diego,CA,92131,San Diego,NOT AVAILABLE
Los Angeles Pierce College,Woodland Hills,CA,91371,Los Angeles,Pierce College |LA Pierce College
California State University-Stanislaus,Turlock,CA,95382,Stanislaus,CSU Stanislaus
Los Angeles Southwest College,Los Angeles,CA,90047,Los Angeles,NOT AVAILABLE
California State University-Chancellors Office,Long Beach,CA,90802,Los Angeles,NOT AVAILABLE
Los Angeles Valley College,Valley Glen,CA,91401,Los Angeles,Valley College |LA Valley College
California State Polytechnic University-Pomona,Pomona,CA,91768,Los Angeles,NOT AVAILABLE
The Master's College and Seminary,Santa Clarita,CA,91321,Los Angeles,NOT AVAILABLE
Los Angeles City College,Los Angeles,CA,90029,Los Angeles,NOT AVAILABLE
California State University-Chico,Chico,CA,95929,Butte,NOT AVAILABLE
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,90033,Los Angeles,L.A. County School of Nursing
California State University-Fresno,Fresno,CA,93740,Fresno,NOT AVAILABLE
Los Angeles Mission College,Sylmar,CA,91342,Los Angeles,NOT AVAILABLE
California State University-East Bay,Hayward,CA,94542,Alameda,Cal State East Bay
Los Rios Community College District Office,Sacramento,CA,95825,Sacramento,LRCCD
University of California-Berkeley,Berkeley,CA,94720,Alameda,UC Berkeley
Lyles Bakersfield College of Beauty,Bakersfield,CA,93301,Kern,NOT AVAILABLE
University of California-Davis,Davis,CA,95616,Yolo,UC Davis
Lyles Fresno College of Beauty,Fresno,CA,93710,Fresno,Lyles College of Beauty |Lyles Beauty College
University of California-Irvine,Irvine,CA,92697,Orange,UCI |UC Irvine
MTI College,Sacramento,CA,95841,Sacramento,NOT AVAILABLE
University of California-Los Angeles,Los Angeles,CA,90095,Los Angeles,UCLA
University of California-Riverside,Riverside,CA,92521,Riverside,UC Riverside
Kaplan College-Sacramento,Sacramento,CA,95821,Sacramento,NOT AVAILABLE
University of California-San Diego,La Jolla,CA,92093,San Diego,UCSD |UC San Diego
Kaplan College-San Diego,San Diego,CA,92123,San Diego,NOT AVAILABLE
Kaplan College-Vista,Vista,CA,92083,San Diego,NOT AVAILABLE
University of California-San Francisco,San Francisco,CA,94143,San Francisco,"UCSF |UC San Francisco |University of California at San Francisco |University of California, San Francisco"
Marinello Schools of Beauty-Los Angeles,Los Angeles,CA,90023,Los Angeles,NOT AVAILABLE
University of California-Santa Barbara,Santa Barbara,CA,93106,Santa Barbara,UCSB |UC Santa Barbara
Menlo College,Atherton,CA,94027,San Mateo,Menlo
California Beauty School,Modesto,CA,95354,Stanislaus,NOT AVAILABLE
Merritt College,Oakland,CA,94619,Alameda,NOT AVAILABLE
California College-San Diego,San Diego,CA,92108,San Diego,NOT AVAILABLE
Mills College,Oakland,CA,94613,Alameda,NOT AVAILABLE
Marinello Schools of Beauty-San Francisco,San Francisco,CA,94103,San Francisco,NOT AVAILABLE
Le Cordon Bleu College of Culinary Arts,San Francisco,CA,94103,San Francisco,NOT AVAILABLE
California Hair Design Academy,La Mesa,CA,91941,San Diego,NOT AVAILABLE
Kaplan College-North Hollywood,North Hollywood,CA,91606,Los Angeles,NOT AVAILABLE
California Western School of Law,San Diego,CA,92101,San Diego,NOT AVAILABLE
Moler Barber College,Oakland,CA,94609,Alameda,NOT AVAILABLE
College of the Canyons,Santa Clarita,CA,91355,Los Angeles,NOT AVAILABLE
Mount St. Mary's College,Los Angeles,CA,90049,Los Angeles,NOT AVAILABLE
Career Academy of Beauty,Garden Grove,CA,92845,Orange,NOT AVAILABLE
Mt. San Jacinto Community College District,San Jacinto,CA,92583,Riverside,Mt. San Jacinto CCD
Casa Loma College-Van Nuys,Van Nuys,CA,91405,Los Angeles,NOT AVAILABLE
Mueller College,San Diego,CA,92108,San Diego,NOT AVAILABLE
CET-San Diego,San Diego,CA,92102,San Diego,NOT AVAILABLE
Napa Valley College,Napa,CA,94558,Napa,NOT AVAILABLE
CET-Sobrato,San Jose,CA,95110,Santa Clara,NOT AVAILABLE
Everest College-San Francisco,San Francisco,CA,94103,San Francisco,NOT AVAILABLE
CET-El Centro,El Centro,CA,92243,Imperial,NOT AVAILABLE
Everest College-Reseda,Reseda,CA,91335,Los Angeles,NOT AVAILABLE
CET-San Bernardino,San Bernardino,CA,92408,San Bernardino,NOT AVAILABLE
CET-Watsonville,Watsonville,CA,95076,Santa Cruz,NOT AVAILABLE
Everest College-LA Wilshire,Los Angeles,CA,90010,Los Angeles,NOT AVAILABLE
CET-Gilroy,Gilroy,CA,95020,Santa Clara,NOT AVAILABLE
Everest College-San Jose,San Jose,CA,95128,Santa Clara,NOT AVAILABLE
CET-Salinas,Salinas,CA,93901,Monterey,NOT AVAILABLE
Everest College-Gardena,Gardena,CA,90247,Los Angeles,NOT AVAILABLE
Everest College-Alhambra,Alhambra,CA,91803,Los Angeles,NOT AVAILABLE
Chaffey College,Rancho Cucamonga,CA,91737,San Bernardino,NOT AVAILABLE
Chapman University,Orange,CA,92866,Orange,NOT AVAILABLE
Everest College-San Bernardino,San Bernardino,CA,92408,San Bernardino,NOT AVAILABLE
San Diego Christian College,El Cajon,CA,92019,San Diego,NOT AVAILABLE
The National Hispanic University,San Jose,CA,95127,Santa Clara,NHU
Church Divinity School of the Pacific,Berkeley,CA,94709,Alameda,CDSP
National Holistic Institute,Emeryville,CA,94608,Alameda,NOT AVAILABLE
City College of San Francisco,San Francisco,CA,94112,San Francisco,NOT AVAILABLE
Naval Postgraduate School,Monterey,CA,93943,Monterey,NOT AVAILABLE
Milan Institute-Visalia,Visalia,CA,93277,Tulare,NOT AVAILABLE
Clovis Adult Education,Clovis,CA,93611,Fresno,NOT AVAILABLE
Newschool of Architecture and Design,San Diego,CA,92101,San Diego,NOT AVAILABLE
Cogswell College,Sunnyvale,CA,94089,Santa Clara,NOT AVAILABLE
Newberry School of Beauty,Granada Hills,CA,91344,Los Angeles,NOT AVAILABLE
North Adrians Beauty College,Modesto,CA,95350,Stanislaus,North Adrian's College of Beauty
Coleman University,San Diego,CA,92123,San Diego,Coleman College
North Orange County Community College District,Anaheim,CA,92801,Orange,NOT AVAILABLE
COBA Academy,Orange,CA,92866,Orange,NOT AVAILABLE
University of Phoenix-Indianapolis Campus,Indianapolis,IN,46250,Marion,NOT AVAILABLE
Career Institute of Health and Technology,Brooklyn,NY,11201,Kings,NOT AVAILABLE
Dewey University,Hato Rey,PR,910,San Juan,NOT AVAILABLE
InterCoast Colleges-West Covina,West Covina,CA,91790,Los Angeles,NOT AVAILABLE
Texas School of Business-East,Houston,TX,77029,Harris,NOT AVAILABLE
Centura College-Columbia,Columbia,SC,29223,Richland,NOT AVAILABLE
Le Cordon Bleu College of Culinary Arts-Atlanta,Tucker,GA,30084,DeKalb,LCB Atlanta
Flagler College-Tallahassee,Tallahassee,FL,32304,Leon,NOT AVAILABLE
Ohio Center for Broadcasting-Colorado,Lakewood,CO,80226,Jefferson,NOT AVAILABLE
Montgomery County Community College-West Campus,NOT AVAILABLE,PA,NOT AVAILABLE,Montgomery,NOT AVAILABLE
Paul Mitchell the School-Rhode Island,Cranston,RI,2920,Providence,NOT AVAILABLE
Kanawha Valley Community and Technical College,South Charleston,WV,25303,Kanawha,KVCTC
Miller-Motte Technical College-Chattanooga,Chattanooga,TN,37421,Hamilton,NOT AVAILABLE
MCI Institute of Technology,West Palm Beach,FL,33409,Palm Beach,NOT AVAILABLE
American InterContinental University-Online,Schaumburg,IL,60173,Cook,AIU Online
Selma University,Selma,AL,36701,Dallas,NOT AVAILABLE
Milan Institute-Sparks,Sparks,NV,89431,Washoe,NOT AVAILABLE
Westwood College-Atlanta Midtown,Atlanta,GA,30309,Fulton,NOT AVAILABLE
Shelton State Community College,Tuscaloosa,AL,35405,Tuscaloosa,NOT AVAILABLE
Oregon Career & Technology Center,Oregon,OH,43616,Lucas,Oregon Career & Technology Center|OCTC
Empire Beauty School-Framingham,Framingham,MA,1702,Middlesex,NOT AVAILABLE
Performance Training Institute,Toms River,NJ,8755,Ocean,"RSTM, LLC"
ITT Technical Institute-Eden Prairie,Eden Prairie,MN,55347,Hennepin,NOT AVAILABLE
Southeastern Bible College,Birmingham,AL,35224,Shelby,NOT AVAILABLE
Centura Institute,Orlando,FL,32810,Orange,NOT AVAILABLE
Virginia College-Mobile,Mobile,AL,36608,Mobile,NOT AVAILABLE
Troy University,Troy,AL,36082,Pike,TROY
Westwood College-Chicago Loop,Chicago,IL,60602,Cook,NOT AVAILABLE
Tuskegee University,Tuskegee,AL,36088,Macon,NOT AVAILABLE
Precision Manufacturing Institute,Meadville,PA,16335,Crawford,NOT AVAILABLE
Le Cordon Bleu College of Culinary Arts-Las Vegas,Las Vegas,NV,89144,Clark,LCB Las Vegas
Professional Massage Training Center,Springfield,MO,65803,Greene,NOT AVAILABLE
International Academy of Design and Technology-Troy,Troy,MI,48083,Oakland,NOT AVAILABLE
University of Alaska Fairbanks,Fairbanks,AK,99775,Fairbanks North Star,NOT AVAILABLE
Interactive Learning Systems-North Houston,Houston,TX,77022,Harris,NOT AVAILABLE
Bexley Hall Episcopal Seminary,Columbus,OH,43209,Franklin,Bexley Hall Seminary |Bexley Hall |Bexley Institute
Regency School of Hair Design,Prestonsburg,KY,41653,Floyd,NOT AVAILABLE
American InterContinental University-Houston,Houston,TX,77042,Harris,AIU Houston
Everest College Phoenix,Phoenix,AZ,85021,Maricopa,Academy of Business College | |Rhodes College
Renaissance School of Therapeutic Massage,Bountiful,UT,84010,Davis,NOT AVAILABLE
University of North Texas System,Dallas,TX,75201,Denton,NOT AVAILABLE
Sanford-Brown College-Houston North Loop,Houston,TX,77008,Harris,NOT AVAILABLE
Anthem College-Fenton,Fenton,MO,63026,St. Louis,NOT AVAILABLE
SAE Institute of Technology-Nashville,Nashville,TN,37203,Davidson,NOT AVAILABLE
Collins College,Phoenix,AZ,85040,Maricopa,NOT AVAILABLE
University of California-Merced,Merced,CA,95343,Merced,UC Merced
Empire Beauty School-Paradise Valley,Phoenix,AZ,85032,Maricopa,NOT AVAILABLE
Eclipse School of Cosmetology and Barbering,Cape Girardeau,MO,63701,Cape Girardeau,NOT AVAILABLE
Everest Institute-Norcross,Norcross,GA,30093,Gwinnett,NOT AVAILABLE
Kaplan College-Brownsville,Brownsville,TX,78521,Cameron,NOT AVAILABLE
Shear Academy,Crossville,TN,38555,Cumberland,NOT AVAILABLE
Everest College-Fort Worth,Fort Worth,TX,76137,Tarrant,NOT AVAILABLE
Empire Beauty School-Tucson,Tucson,AZ,85716,Pima,NOT AVAILABLE
Remington College-North Houston Campus,Houston,TX,77067,Harris,NOT AVAILABLE
Thunderbird School of Global Management,Glendale,AZ,85306,Maricopa,Thunderbird
Kaplan College-Corpus Christi,Corpus Christi,TX,78416,Nueces,NOT AVAILABLE
Southern Technical College,Sanford,FL,32773,Orange,NOT AVAILABLE
Stanbridge College,Irvine,CA,92612,Orange,NOT AVAILABLE
Paul Mitchell the School-Orlando,Casselberry,FL,32707,Seminole,NOT AVAILABLE
American Institute of Technology,Phoenix,AZ,85043,Maricopa,NOT AVAILABLE
American Professional Institute,Macon,GA,31210,Bibb,NOT AVAILABLE
Styletrends Barber and Hairstyling Academy,Rock Hill,SC,29730,York,NOT AVAILABLE
Regency Beauty Institute-Maplewood,Maplewood,MN,55109,Ramsey,NOT AVAILABLE
College America-Flagstaff,Flagstaff,AZ,86004,Coconino,NOT AVAILABLE
Everest College-Arlington,Arlington,TX,76011,Tarrant,NOT AVAILABLE
Arizona Academy of Beauty-East,Tucson,AZ,85712,Pima,NOT AVAILABLE
Pima Medical Institute-Las Vegas,Las Vegas,NV,89121,Clark,NOT AVAILABLE
Universal Career School,Sweetwater,FL,33174,Miami-Dade,"Universal Beauty School,Inc./DBA Universal Career School"
University of Phoenix-Columbus Georgia Campus,Columbus,GA,31909,Muscogee,NOT AVAILABLE
University of Phoenix-Columbus Ohio Campus,Columbus,OH,43240,Delaware,NOT AVAILABLE
Remington College-Nashville Campus,Nashville,TN,37214,Davidson,NOT AVAILABLE
Universal College of Healing Arts,Omaha,NE,68112,Douglas,NOT AVAILABLE
Arizona Automotive Institute,Glendale,AZ,85301,Maricopa,NOT AVAILABLE
University of Phoenix-Little Rock Campus,Little Rock,AR,72211,Pulaski,NOT AVAILABLE
Brookline College-Phoenix,Phoenix,AZ,85021,Maricopa,NOT AVAILABLE
Uta Mesivta of Kiryas Joel,Monroe,NY,10950,Orange,NOT AVAILABLE
Platt College-North OKC,Oklahoma City,OK,73134,Oklahoma,NOT AVAILABLE
Toni & Guy Hairdressing Academy-Boise,Boise,ID,83705,Ada,NOT AVAILABLE
Westwood College-Northlake,Atlanta,GA,30345,DeKalb,NOT AVAILABLE
Arizona State University,Tempe,AZ,85287,Maricopa,ASU
W L Bonner College,Columbia,SC,29203,Richland,NOT AVAILABLE
Charlie's Guard-Detective Bureau and Academy Inc,Aguadilla,PR,603,Aguadilla,Charlie's Academy
Harrisburg University of Science and Technology,Harrisburg,PA,17101,Dauphin,NOT AVAILABLE
Arizona Western College,Yuma,AZ,85365,Yuma,"AWC, A.W.C., AZ Western, AZ Western College, Arizona Western, Yuma/LaPaz Community College District"
University of Phoenix-Jersey City Campus,Jersey City,NJ,7310,Hudson,NOT AVAILABLE
University of Phoenix-Minneapolis/St Paul Campus,Saint Louis Park,MN,55426,Hennepin,NOT AVAILABLE
PCI Academy,New Hope,MN,55428,Hennepin,NOT AVAILABLE
University of Arizona,Tucson,AZ,85721,Pima,"UA|U of A|Arizona|UofA|The University of Arizona|University of Arizona|University of Az|AZ|Univ. of Arizona|Univ. of Az|Tucson|Tucson, AZ|the university of Arizona|the Univ. of Az|the U of AZ|the U of Az|Ariz.|Arizona University|Az+university|85721|AZ+un"
The Art Institute of Ohio-Cincinnati,Cincinnati,OH,45249,Hamilton,NOT AVAILABLE
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,Pima,NOT AVAILABLE
DeVry University-Nevada,Henderson,NV,89074,Clark,DeVry University-Henderson (Las Vegas)
Kaplan College-Fort Worth,Fort Worth,TX,76103,Tarrant,NOT AVAILABLE
Stevens-Henager College-Logan,Logan,UT,84321,Cache,NOT AVAILABLE
Brillare Hairdressing Academy,Scottsdale,AZ,85254,Maricopa,NOT AVAILABLE
Everest College-Chicago,Chicago,IL,60604,Cook,NOT AVAILABLE
Kaplan College-Midland,Midland,TX,79703,Midland,NOT AVAILABLE
Brown Mackie College-Tucson,Tucson,AZ,85712,Pima,NOT AVAILABLE
University of Phoenix-Cheyenne Campus,Cheyenne,WY,82009,Laramie,NOT AVAILABLE
Everest College-Tacoma,Tacoma,WA,98402,Pierce,NOT AVAILABLE
University of Phoenix-Springfield  Campus,Springfield,MO,65804,Greene,NOT AVAILABLE
DeVry University-Oregon,Portland,OR,97225,Washington,DeVry University-Portland
Kaplan College-Lubbock,Lubbock,TX,79401,Lubbock,NOT AVAILABLE
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,Mohave,NOT AVAILABLE
University of Phoenix-Des Moines Campus,West Des Moines,IA,50266,Dallas,NOT AVAILABLE
Carrington College California-Emeryville,Emeryville,CA,94608,Alameda,Western Career College-Emeryville
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,Coconino,NOT AVAILABLE
National University College-Rio Grande,Rio Grande,PR,745,RÃ­o Grande,NOT AVAILABLE
Creative Images Institute of Cosmetology-South Dayton,Dayton,OH,45459,Montgomery,NOT AVAILABLE
University of Phoenix-San Antonio Campus,San Antonio,TX,78230,Bexar,NOT AVAILABLE
North-West College-Riverside,Riverside,CA,92503,Riverside,NOT AVAILABLE
Empire Beauty School-Chandler,Chandler,AZ,85224,Maricopa,NOT AVAILABLE
Westwood College-Houston South,Houston,TX,77074,Harris,NOT AVAILABLE
Everest Institute-Chelsea,Chelsea,MA,2150,Suffolk,NOT AVAILABLE
University of Phoenix-Austin Campus,Austin,TX,78759,Travis,NOT AVAILABLE
Cortiva Institute-Tucson,Tucson,AZ,85710,Pima,NOT AVAILABLE
Fortis Institute-Jacksonville,Jacksonville,FL,32216,Duval,NOT AVAILABLE
University of Phoenix-Richmond Campus,Richmond,VA,23230,Henrico,NOT AVAILABLE
DeVry University-Arizona,Phoenix,AZ,85021,Maricopa,DeVry University-Mesa |DeVry University-Phoenix |DeVry University-Northeast Phoenix |DeVry University-Glendale
Everest Institute-Eagan,Eagan,MN,55121,Dakota,NOT AVAILABLE
Glendale Community College,Glendale,AZ,85302,Maricopa,NOT AVAILABLE
University of Phoenix-Louisville Campus,Louisville,KY,40223,Jefferson,NOT AVAILABLE
University of Phoenix-Raleigh Campus,Raleigh,NC,27606,Wake,NOT AVAILABLE
Brookline College-Albuquerque,Albuquerque,NM,87105,Bernalillo,NOT AVAILABLE
Blue Ridge Community and Technical College,Martinsburg,WV,25403,Berkeley,NOT AVAILABLE
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,15214,Allegheny,NOT AVAILABLE
