Colleges_and_Universities
NAME,CITY,STATE,ZIP,COUNTY,ALIAS
Vanguard College of Cosmetology-Metairie,Metairie,LA,70002,Jefferson,NOT AVAILABLE
New England Tractor Trailer Training School of Massachusetts,North Andover,MA,1845,Essex,NOT AVAILABLE
Heritage College-Columbus,Columbus,OH,43213,Franklin,NOT AVAILABLE
Utah College of Massage Therapy-Vegas,Las Vegas,NV,89123,Clark,NOT AVAILABLE
Utah College of Massage Therapy-Tempe,Tempe,AZ,85282,Maricopa,NOT AVAILABLE
Utah College of Massage Therapy-Phoenix,Phoenix,AZ,85051,Maricopa,NOT AVAILABLE
Utah College of Massage Therapy-Westminster,Westminster,CO,80031,Jefferson,NOT AVAILABLE
Utah College of Massage Therapy-Aurora,Aurora,CO,80012,Arapahoe,NOT AVAILABLE
Sanford-Brown College-Portland,Portland,OR,97205,Multnomah,SBC Portland
Tint School of Makeup & Cosmetology-Grand Prairie,Grand Prairie,TX,75051,Dallas,NOT AVAILABLE
Dewey University,Yabucoa,PR,767,Yabucoa,NOT AVAILABLE
Dewey University,Hatillo,PR,659,Hatillo,NOT AVAILABLE
Shear Learning Academy of Cosmetology,Decatur,IL,62523,Macon,NOT AVAILABLE
University of Cosmetology Arts & Sciences,La Joya,TX,78560,Hidalgo,NOT AVAILABLE
Preferred College of Nursing,Van Nuys,CA,91401,Los Angeles,NOT AVAILABLE
Bryant & Stratton College-Akron,Copley,OH,44321,Summit,NOT AVAILABLE
Annenberg School of Nursing,Reseda,CA,91335,Los Angeles,NOT AVAILABLE
American Medical Academy,Miami,FL,33186,Miami-Dade,NOT AVAILABLE
Tooele Applied Technology College,Tooele,UT,84074,Tooele,NOT AVAILABLE
Chamberlain College of Nursing-Georgia,Atlanta,GA,30342,Fulton,Chamberlain College of Nursing-Atlanta
Chamberlain College of Nursing-Indiana,Indianapolis,IN,46240,Marion,Chamberlain College of Nursing-Indianapolis
Carrington College-Mesquite,Mesquite,TX,75150,Dallas,NOT AVAILABLE
Janus University,Newport Beach,CA,92660,Orange,NOT AVAILABLE
Universidad Internacional Iberoamericana,Arecibo,PR,613,Arecibo,NOT AVAILABLE
Sessions College for Professional Design,Tempe,AZ,85281,Maricopa,NOT AVAILABLE
"Southeastern Technical Careers Institute, Inc.",West Palm Beach,FL,33405,Palm Beach,STCI
Virginia College-Shreveport/Bossier City,Bossier City,LA,71111,Bossier,NOT AVAILABLE
Strayer University-Wisconsin,Milwaukee,WI,53214,Milwaukee,NOT AVAILABLE
Strayer University-Indiana,Indianapolis,IN,46240,Marion,NOT AVAILABLE
